Location,Area_sqft,Price,Price_BDT,Bedroom,Bathroom,Floor,For,Property_Type,URL
"Bashundhara, Dhaka",2221,BDT 55 Thousand Per Month,55000.0,4,5,3,Rent,Flat,https://brokeragebd.com/property/2221-sft-4-bedroom-flat-is-ready-for-rent-in-bashundhara-2/
"Gulshan, Dhaka",2200,BDT 2.2 Lakh Per Month,220000.0,4,4,4,Rent,Flat,https://brokeragebd.com/property/2200-sft-4-bedroom-flat-is-ready-for-rent-in-gulshan/
"Bashundhara, Dhaka",2200,BDT 70 Thousand Per Month,70000.0,4,3,5,Rent,Flat,https://brokeragebd.com/property/2200-sft-4-bedroom-flat-is-ready-for-rent-in-bashundhara/
"Bashundhara, Dhaka",2200,BDT 55 Thousand Per Month,55000.0,3,5,2,Rent,Flat,https://brokeragebd.com/property/2200-sft-3-bedroom-flat-is-ready-for-rent-in-bashundhara/
"Bashundhara, Dhaka",2200,BDT 55 Thousand Per Month,55000.0,3,5,8,Rent,Flat,https://brokeragebd.com/property/2200-sft-3-bedroom-flat-is-ready-for-rent-in-bashundhara-a8/
"Bashundhara, Dhaka",2200,BDT 55 Thousand Per Month,55000.0,3,5,7,Rent,Flat,https://brokeragebd.com/property/2200-sft-3-bedroom-flat-is-ready-for-rent-in-bashundhara-2/
"Uttara, Dhaka",2195,BDT 2.6 Crore,26000000.0,3,2,2,Sell,Flat,https://brokeragebd.com/property/2195-sft-3-bedroom-flat-is-ready-for-sale-in-uttara/
"Bashundhara, Dhaka",2173,BDT 2.47 Crore,24700000.0,3,5,9,Sell,Flat,https://brokeragebd.com/property/2173-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a9/
"Bashundhara, Dhaka",2166,BDT 2.60 Crore,26000000.0,3,5,8,Sell,Flat,https://brokeragebd.com/property/2166-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a2/
"Uttara, Dhaka",2162,BDT 3.86 Crore,38600000.0,4,2,3,Sell,Flat,https://brokeragebd.com/property/2162-sft-4-bebroom-flat-is-ready-for-sale-in-uttara/
"Uttara, Dhaka",2082,BDT 2.8 Crore,28000000.0,3,2,4,Sell,Flat,https://brokeragebd.com/property/2082-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-2/
"Bashundhara, Dhaka",2072,BDT 1.99 Crore,19900000.0,3,5,3,Sell,Flat,https://brokeragebd.com/property/2072-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Bashundhara, Dhaka",2052,BDT 2.68 Crore,26800000.0,3,5,1,Sell,Flat,https://brokeragebd.com/property/2052-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Bashundhara, Dhaka",2052,BDT 2.77 Crore,27700000.0,3,5,7,Sell,Flat,https://brokeragebd.com/property/2052-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-b7/
"Bashundhara, Dhaka",2050,BDT 2.73 Crore,27300000.0,3,5,6,Sell,Flat,https://brokeragebd.com/property/2050-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a6/
"Bashundhara, Dhaka",2050,BDT 2.73 Crore,27300000.0,3,5,5,Sell,Flat,https://brokeragebd.com/property/2050-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a7/
"Madani Avenue, Dhaka",2034,BDT 2.19 Crore,21900000.0,3,3,10,Sell,Flat,https://brokeragebd.com/property/2034-sft-3-bedroom-flat-is-ready-for-sale-in-madani-avenue/
"Uttara, Dhaka",2026,BDT 2.05 Crore,20500000.0,3,2,5,Sell,Flat,https://brokeragebd.com/property/2026-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-a5/
"Uttara, Dhaka",2026,BDT 55 Thousand Per Month,55000.0,3,2,4,Rent,Flat,https://brokeragebd.com/property/2026-sft-3-bedroom-flat-is-ready-for-rent-in-uttara/
"Baridhara, Dhaka",2000,BDT 70 Thousand Per Month,70000.0,3,N/A,4,Rent,Flat,https://brokeragebd.com/property/2000-sft-3-bedroom-flat-is-ready-for-rent-in-baridhara/
"Banani, Dhaka",2000,BDT 1.6 Lakh,160000.0,3,3,10,Rent,Flat,https://brokeragebd.com/property/2000-sft-3-bedroom-flat-is-ready-for-rent-banani-a10/
"Banani, Dhaka",2000,BDT 1.2 Lakh Per Month,120000.0,3,3,2,Rent,Flat,https://brokeragebd.com/property/2000-sft-3-bedroom-flat-is-ready-for-rent-banani-a2/
"Banani, Dhaka",2000,BDT 1.1 Lakh Per Month,110000.0,3,3,1,Rent,Flat,https://brokeragebd.com/property/2000-sft-3-bedroom-flat-is-ready-for-rent-banani/
"Bashundhara, Dhaka",1979,BDT 1.85 Crore,18500000.0,3,5,5,Sell,Flat,https://brokeragebd.com/property/1979-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Aftabnagar, Dhaka",1970,BDT 2.7 Crore,27000000.0,3,3,3,Sell,Flat,https://brokeragebd.com/property/1970-sft-3-bedroom-flat-is-ready-for-sale-in-aftabnagor-b3-3/
"Aftabnagar, Dhaka",1970,BDT 2.66 Crore,26600000.0,3,3,9,Sell,Flat,https://brokeragebd.com/property/1970-sft-3-bedroom-flat-is-ready-for-sale-in-aftabnagor-a9/
"Eskaton, Dhaka",1946,BDT 2.68 Crore,26800000.0,3,4,7,Sell,Flat,https://brokeragebd.com/property/1946-sft-3-bedroom-flat-is-ready-for-sale-in-eskaton/
"Mirpur, Dhaka",1945,BDT 49 Thousand Per Month,49000.0,3,3,5,Rent,Flat,https://brokeragebd.com/property/1945-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-a3-2/
"Mirpur, Dhaka",1925,BDT 49 Thousand Per Month,49000.0,3,3,7,Rent,Flat,https://brokeragebd.com/property/1925-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur/
"Mirpur, Dhaka",1925,BDT 44 Thousand Per Month,44000.0,3,3,8,Rent,Flat,https://brokeragebd.com/property/1925-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-2/
"Mirpur, Dhaka",1925,BDT 44 Thousand Per Month,44000.0,3,3,11,Rent,Flat,https://brokeragebd.com/property/1925-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-4/
"Bashundhara, Dhaka",1868,BDT 2.52 Crore,25200000.0,3,5,6,Sell,Flat,https://brokeragebd.com/property/1868-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-b6/
"Bashundhara, Dhaka",1868,BDT 2.52 Crore,25200000.0,3,5,7,Sell,Flat,https://brokeragebd.com/property/1868-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-b7/
"Bashundhara, Dhaka",1868,BDT 55 Thousand Per Month,55000.0,3,5,8,Rent,Flat,https://brokeragebd.com/property/1868-sft-3-bedroom-flat-is-ready-for-rent-in-bashundhara/
"Bashundhara, Dhaka",1858,BDT 2.03 Crore,20300000.0,3,5,1,Sell,Flat,https://brokeragebd.com/property/1858-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Badda, Dhaka",1832,BDT 1.30 Crore,13000000.0,3,3,10,Sell,Flat,https://brokeragebd.com/property/1832-sft-3-bedroom-flat-is-ready-for-sale-in-badda/
"Mirpur, Dhaka",1805,BDT 44 Thousand Per Month,44000.0,3,3,7,Rent,Flat,https://brokeragebd.com/property/1805-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur/
"Mirpur, Dhaka",1805,BDT 44 Thousand Per Month,44000.0,3,3,9,Rent,Flat,https://brokeragebd.com/property/1925-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-2-2-2/
"Mirpur, Dhaka",1805,BDT 44 Thousand Per Month,44000.0,3,3,13,Rent,Flat,https://brokeragebd.com/property/1805-sft-3-bedroom-flat-is-ready-for-rent-in-mirpur-2/
"Madani Avenue, Dhaka",1799,BDT 2.12 Crore,21200000.0,3,3,9,Sell,Flat,https://brokeragebd.com/property/1799-sft-3-bedroom-flat-is-ready-for-sale-in-madani-avenue/
"Mirpur, Dhaka",1745,BDT 2.22 Crore,22200000.0,3,3,4,Sell,Flat,https://brokeragebd.com/property/1745-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
