Location,Area_sqft,Price,Price_BDT,Bedroom,Bathroom,Floor,For,Property_Type,URL
"Savar, Dhaka",1090,BDT 50 Lakh,5000000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1090-sft-3-bedroom-flat-is-ready-for-sale-in-savar/
"Savar, Dhaka",1065,BDT 53 Lakh,5300000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1065-sft-3-bedroom-flat-is-ready-for-sale-in-savar/
"Ramna, Dhaka",1050,BDT 70 Lakh,7000000.0,3,N/A,8,Sell,Flat,https://brokeragebd.com/property/1050-sft-3-bedroom-flat-is-ready-for-sale-in-ramna/
"Mirpur, Dhaka",1042,BDT 1.20 Crore,12000000.0,3,3,7,Sell,Flat,https://brokeragebd.com/property/1042-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-b7/
"Mirpur, Dhaka",1042,BDT 1.05 Crore,10500000.0,3,3,4,Sell,Flat,https://brokeragebd.com/property/1042-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-b4/
"Mirpur, Dhaka",1042,BDT 1.2 Crore,12000000.0,3,3,6,Sell,Flat,https://brokeragebd.com/property/1042-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-c6/
"Mirpur, Dhaka",1042,BDT 1.2 Crore,12000000.0,3,3,6,Sell,Flat,https://brokeragebd.com/property/1042-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-d6/
"Savar, Dhaka",1018,BDT 49 Lakh,4900000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1018-sft-3-bedroom-flat-is-ready-for-sale-in-savar/
"Savar, Dhaka",1015,BDT 47 Lakh,4700000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1015-sft-3-bedroom-flat-is-ready-for-sale-in-savar-e5/
"Savar, Dhaka",1015,BDT 50 Lakh,5000000.0,3,3,1,Sell,Flat,https://brokeragebd.com/property/1015-sft-3-bedroom-flat-is-ready-for-sale-in-savar/
"Savar, Dhaka",1010,BDT 50 Lakh,5000000.0,3,3,6,Sell,Flat,https://brokeragebd.com/property/1010-sft-3-bedroom-flat-is-ready-for-sale-in-savar/
